Usredniony czas [mikrosekundy]:3726 dla 10000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:3681 dla 10000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:3592 dla 10000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:3340 dla 10000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:3260 dla 10000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:3255 dla 10000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:3254 dla 10000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:3370 dla 10000 elementowej tablicy, wstepnie posortowanej od tylu.
Usredniony czas [mikrosekundy]:20934 dla 50000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:20883 dla 50000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:20564 dla 50000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:19534 dla 50000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:18900 dla 50000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:18707 dla 50000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:18664 dla 50000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:18498 dla 50000 elementowej tablicy, wstepnie posortowanej od tylu.
Usredniony czas [mikrosekundy]:44553 dla 100000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:44191 dla 100000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:44430 dla 100000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:41768 dla 100000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:39889 dla 100000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:39849 dla 100000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:39905 dla 100000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:40004 dla 100000 elementowej tablicy, wstepnie posortowanej od tylu.
Usredniony czas [mikrosekundy]:271575 dla 500000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:271678 dla 500000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:267182 dla 500000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:241950 dla 500000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:227314 dla 500000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:225740 dla 500000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:224757 dla 500000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:228362 dla 500000 elementowej tablicy, wstepnie posortowanej od tylu.
Usredniony czas [mikrosekundy]:593338 dla 1000000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:595790 dla 1000000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:586723 dla 1000000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:519000 dla 1000000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:478379 dla 1000000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:476603 dla 1000000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:470690 dla 1000000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:476146 dla 1000000 elementowej tablicy, wstepnie posortowanej od tylu.
