Usredniony czas [mikrosekundy]:8316 dla 10000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:6985 dla 10000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:6577 dla 10000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:6483 dla 10000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:6298 dla 10000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:6359 dla 10000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:6357 dla 10000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:6332 dla 10000 elementowej tablicy, wstepnie posortowanej od tylu.
Usredniony czas [mikrosekundy]:35705 dla 50000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:34846 dla 50000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:34118 dla 50000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:33056 dla 50000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:32433 dla 50000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:33102 dla 50000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:33049 dla 50000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:32222 dla 50000 elementowej tablicy, wstepnie posortowanej od tylu.
Usredniony czas [mikrosekundy]:71949 dla 100000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:70099 dla 100000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:67983 dla 100000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:66453 dla 100000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:65606 dla 100000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:65068 dla 100000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:65108 dla 100000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:64649 dla 100000 elementowej tablicy, wstepnie posortowanej od tylu.
Usredniony czas [mikrosekundy]:367911 dla 500000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:357768 dla 500000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:348304 dla 500000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:338941 dla 500000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:332905 dla 500000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:329620 dla 500000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:329903 dla 500000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:342552 dla 500000 elementowej tablicy, wstepnie posortowanej od tylu.
Usredniony czas [mikrosekundy]:744065 dla 1000000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:720339 dla 1000000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:713309 dla 1000000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:683905 dla 1000000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:675806 dla 1000000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:667003 dla 1000000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:666177 dla 1000000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:685650 dla 1000000 elementowej tablicy, wstepnie posortowanej od tylu.
