Usredniony czas [mikrosekundy]:1506 dla 10000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:1273 dla 10000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:1111 dla 10000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:910 dla 10000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:839 dla 10000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:807 dla 10000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:771 dla 10000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:927 dla 10000 elementowej tablicy, wstepnie posortowanej od tylu.
Usredniony czas [mikrosekundy]:7571 dla 50000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:6622 dla 50000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:5611 dla 50000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:4680 dla 50000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:3970 dla 50000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:3849 dla 50000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:3784 dla 50000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:3794 dla 50000 elementowej tablicy, wstepnie posortowanej od tylu.
Usredniony czas [mikrosekundy]:15373 dla 100000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:13490 dla 100000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:11472 dla 100000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:9605 dla 100000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:8156 dla 100000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:7841 dla 100000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:7753 dla 100000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:7647 dla 100000 elementowej tablicy, wstepnie posortowanej od tylu.
Usredniony czas [mikrosekundy]:78076 dla 500000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:69375 dla 500000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:60146 dla 500000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:50737 dla 500000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:42913 dla 500000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:41430 dla 500000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:41218 dla 500000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:42377 dla 500000 elementowej tablicy, wstepnie posortowanej od tylu.
Usredniony czas [mikrosekundy]:155365 dla 1000000 elementowej tablicy, wstepnie posortowanej w 0%.
Usredniony czas [mikrosekundy]:138396 dla 1000000 elementowej tablicy, wstepnie posortowanej w 25%.
Usredniony czas [mikrosekundy]:122195 dla 1000000 elementowej tablicy, wstepnie posortowanej w 50%.
Usredniony czas [mikrosekundy]:102960 dla 1000000 elementowej tablicy, wstepnie posortowanej w 75%.
Usredniony czas [mikrosekundy]:87914 dla 1000000 elementowej tablicy, wstepnie posortowanej w 95%.
Usredniony czas [mikrosekundy]:84688 dla 1000000 elementowej tablicy, wstepnie posortowanej w 99%.
Usredniony czas [mikrosekundy]:84096 dla 1000000 elementowej tablicy, wstepnie posortowanej w 99.7%.
Usredniony czas [mikrosekundy]:83921 dla 1000000 elementowej tablicy, wstepnie posortowanej od tylu.
